ParticipantID,Session,TrialNum,TargetType,Target,PrimeType,Prime,Congruency
1,1,1,Olfactory,Tobacco,Auditory,Pink noise,Control
1,1,2,Olfactory,Black pepper,Auditory,Vanilla.wav,Incongruent
1,1,3,Olfactory,Lemon blossom,Auditory,Lemon blossom.wav,Congruent
1,1,4,Olfactory,Melon,Auditory,Melon.wav,Congruent
1,1,5,Olfactory,Vanilla,Auditory,Bergamot.wav,Incongruent
1,1,6,Auditory,Lemon blossom.wav,Olfactory,Lemon blossom,Congruent
1,1,7,Auditory,Bergamot.wav,Olfactory,Melon,Incongruent
1,1,8,Auditory,Truffle.wav,Olfactory,Distilled water,Control
1,1,9,Auditory,Melon.wav,Olfactory,Melon,Congruent
1,1,10,Auditory,Vanilla.wav,Olfactory,Black pepper,Incongruent
2,1,1,Auditory,Vanilla.wav,Olfactory,Vanilla,Congruent
2,1,2,Auditory,Melon.wav,Olfactory,Tobacco,Incongruent
2,1,3,Auditory,Lemon blossom.wav,Olfactory,Tobacco,Incongruent
2,1,4,Auditory,Bergamot.wav,Olfactory,Distilled water,Control
2,1,5,Auditory,Truffle.wav,Olfactory,Tobacco,Congruent
2,1,6,Olfactory,Tobacco,Auditory,Truffle.wav,Congruent
2,1,7,Olfactory,Vanilla,Auditory,Vanilla.wav,Congruent
2,1,8,Olfactory,Lemon blossom,Auditory,Truffle.wav,Incongruent
2,1,9,Olfactory,Black pepper,Auditory,Pink noise,Control
2,1,10,Olfactory,Melon,Auditory,Truffle.wav,Incongruent
3,1,1,Auditory,Melon.wav,Lexical,Λιακάδα,Congruent
3,1,2,Auditory,Bergamot.wav,Lexical,Θαλπωρή,Incongruent
3,1,3,Auditory,Vanilla.wav,Lexical,Νέκταρ,Congruent
3,1,4,Auditory,Truffle.wav,Olfactory,Lemon blossom,Incongruent
3,1,5,Auditory,Lemon blossom.wav,Olfactory,Distilled water,Control
3,1,6,Olfactory,Lemon blossom,Auditory,Pink noise,Control
3,1,7,Olfactory,Black pepper,Lexical,Νέκταρ,Incongruent
3,1,8,Olfactory,Tobacco,Auditory,Lemon blossom.wav,Incongruent
